N,K,alpha,eta,elbo,coherence,perplexity,topics,weights
50,1,0.31,5.0,66794.109375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954798, 0.0077660936, 0.007389669, 0.0066962587, 0.005636333, 0.005626424, 0.005061789, 0.0050419774, 0.0043089446, 0.0042594154]]"
50,1,0.31,10.0,66794.21875,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954775, 0.007766073, 0.0073896493, 0.0066962414, 0.005636318, 0.0056264093, 0.0050617754, 0.0050419644, 0.004308933, 0.0042594043]]"
50,1,0.61,0.01,38252.86328125,0.36444766038713133,,"[['model', 'learning', 'data', 'set', 'using', 'distribution', 'one', 'method', 'value', 'result']]","[[0.01591105, 0.011900009, 0.0100000445, 0.008962092, 0.0075722993, 0.0074667456, 0.0072908252, 0.006938976, 0.0059010307, 0.0058658463]]"
50,1,0.61,0.31,66618.5,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008998748, 0.007804223, 0.007425955, 0.0067291413, 0.0056640194, 0.005654067, 0.005086666, 0.005066757, 0.004330128, 0.004280356]]"
50,1,0.61,0.61,66765.296875,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008953415, 0.007764894, 0.0073885275, 0.0066952244, 0.0056354627, 0.0056255553, 0.005061007, 0.005041199, 0.0043082787, 0.004258758]]"
50,1,0.61,0.9099999999999999,67071.984375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008888447, 0.00770853, 0.0073348945, 0.0066466164, 0.005594534, 0.0055847, 0.0050242464, 0.005004574, 0.0042769625, 0.004227806]]"
50,1,0.61,5.0,66793.9765625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954832, 0.0077661234, 0.0073896977, 0.0066962847, 0.005636355, 0.005626446, 0.0050618085, 0.005041997, 0.004308961, 0.004259432]]"
50,1,0.61,10.0,66794.1484375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954788, 0.0077660843, 0.0073896605, 0.006696251, 0.0056363265, 0.0056264177, 0.005061783, 0.005041972, 0.0043089394, 0.004259411]]"
50,1,0.9099999999999999,0.01,38394.703125,0.35137312038282564,,"[['problem', 'set', 'neural', 'using', 'distribution', 'method', 'parameter', 'feature', 'number', 'vector']]","[[0.008966328, 0.008931259, 0.007633904, 0.0075462437, 0.0074410513, 0.006915096, 0.006056035, 0.005565143, 0.005565143, 0.0052671013]]"
50,1,0.9099999999999999,0.31,66516.09375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.0090124, 0.007816053, 0.007437213, 0.0067393547, 0.005672617, 0.0056626443, 0.0050943834, 0.0050744433, 0.004336702, 0.0042868545]]"
50,1,0.9099999999999999,0.61,66760.84375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954303, 0.0077656647, 0.007389265, 0.0066958945, 0.0056360215, 0.0056261187, 0.0050615147, 0.0050417045, 0.004308708, 0.004259182]]"
50,1,0.9099999999999999,0.9099999999999999,66781.703125,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008957708, 0.007768618, 0.007392075, 0.0066984408, 0.005638166, 0.005628259, 0.0050634397, 0.0050436216, 0.00431035, 0.0042608017]]"
50,1,0.9099999999999999,5.0,66794.140625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954799, 0.007766094, 0.0073896693, 0.006696259, 0.0056363335, 0.0056264247, 0.005061789, 0.005041978, 0.0043089446, 0.004259416]]"
50,1,0.9099999999999999,10.0,66794.1640625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954791, 0.0077660875, 0.0073896633, 0.0066962535, 0.005636329, 0.00562642, 0.0050617848, 0.0050419737, 0.004308941, 0.004259412]]"
50,1,5.0,0.01,37745.30078125,0.30351278049826597,,"[['network', 'algorithm', 'problem', 'set', 'neural', 'distribution', 'probability', 'value', 'result', 'feature']]","[[0.013308116, 0.010152426, 0.009118352, 0.009082696, 0.007763365, 0.0075672497, 0.006978899, 0.0059804874, 0.005944829, 0.005659568]]"
50,1,5.0,0.31,66597.5703125,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.009002147, 0.0078071714, 0.007428762, 0.0067316853, 0.0056661624, 0.005656203, 0.005088587, 0.0050686705, 0.0043317666, 0.0042819763]]"
50,1,5.0,0.61,66738.671875,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008956373, 0.0077674664, 0.0073909718, 0.006697445, 0.0056373286, 0.0056274184, 0.005062685, 0.0050428696, 0.0043097073, 0.0042601693]]"
50,1,5.0,0.9099999999999999,66781.4375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008958041, 0.007768906, 0.0073923487, 0.0066986904, 0.005638375, 0.0056284675, 0.005063628, 0.0050438093, 0.0043105097, 0.0042609633]]"
50,1,5.0,5.0,66794.078125,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.0089548165, 0.0077661094, 0.007389684, 0.0066962726, 0.005636345, 0.005626436, 0.005061799, 0.005041988, 0.0043089534, 0.0042594243]]"
50,1,5.0,10.0,66794.234375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954767, 0.007766067, 0.0073896437, 0.006696236, 0.005636314, 0.005626405, 0.0050617717, 0.0050419606, 0.0043089297, 0.004259401]]"
50,1,10.0,0.01,40236.48828125,0.3581063204708555,,"[['model', 'function', 'network', 'learning', 'data', 'set', 'neural', 'one', 'probability', 'parameter']]","[[0.015143733, 0.013134413, 0.01249812, 0.011326006, 0.009517604, 0.0085296845, 0.007290593, 0.0069389576, 0.0065538352, 0.0057835914]]"
50,1,10.0,0.31,66596.0390625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.009002407, 0.007807401, 0.007428976, 0.0067318827, 0.0056663277, 0.0056563695, 0.005088736, 0.0050688195, 0.0043318938, 0.0042821015]]"
50,1,10.0,0.61,66761.5390625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.00895414, 0.007765523, 0.007389126, 0.006695772, 0.005635919, 0.0056260116, 0.0050614225, 0.005041612, 0.0043086293, 0.004259103]]"
50,1,10.0,0.9099999999999999,67095.9453125,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008885875, 0.0077063125, 0.007332785, 0.006644703, 0.005592917, 0.005583092, 0.0050228, 0.005003135, 0.004275544, 0.0042264503]]"
50,1,10.0,5.0,66794.09375,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954813, 0.0077661066, 0.0073896814, 0.0066962703, 0.005636343, 0.005626434, 0.0050617973, 0.0050419862, 0.0043089516, 0.004259423]]"
50,1,10.0,10.0,66794.1015625,0.37757236710709474,,"[['model', 'function', 'network', 'learning', 'algorithm', 'data', 'problem', 'set', 'neural', 'using']]","[[0.008954811, 0.007766105, 0.00738968, 0.006696269, 0.0056363414, 0.0056264326, 0.0050617964, 0.005041985, 0.0043089506, 0.004259422]]"
50,4,0.01,0.01,-69356.171875,0.35033240137795774,,"[['probability', 'parameter', 'feature', 'number', 'also', 'vector', 'approach', 'use', 'loss', 'regression'], ['model', 'given', 'error', 'used', 'matrix', 'bound', 'let', 'linear', 'output', 'first'], ['network', 'learning', 'data', 'algorithm', 'problem', 'using', 'value', 'result', 'state', 'time'], ['function', 'neural', 'distribution', 'one', 'method', 'training', 'variable', 'show', 'input', 'figure']]","[[0.018045718, 0.015820717, 0.014634903, 0.014630684, 0.014445634, 0.013846727, 0.012739297, 0.012507868, 0.010259892, 0.010200821], [0.038419656, 0.011941462, 0.011940164, 0.01172986, 0.011645505, 0.011472361, 0.01007165, 0.009522039, 0.009516292, 0.009392556], [0.03029988, 0.026700024, 0.023070881, 0.022773046, 0.02075443, 0.016490636, 0.013607123, 0.013525115, 0.012271052, 0.011659111], [0.025876902, 0.01679362, 0.016369427, 0.015983721, 0.015212135, 0.012587051, 0.011273509, 0.010771698, 0.010462126, 0.010080441]]"
50,4,0.01,0.31,63559.76171875,0.3741340511334195,,"[['model', 'network', 'distribution', 'learning', 'quantization', 'neuron', 'using', 'input', 'weight', 'neural'], ['network', 'learning', 'function', 'neural', 'parameter', 'cell', 'reward', 'training', 'algorithm', 'model'], ['model', 'data', 'probability', 'function', 'bound', 'set', 'variable', 'problem', 'learning', 'distribution'], ['function', 'feature', 'algorithm', 'learning', 'problem', 'method', 'dropout', 'set', 'data', 'model']]","[[0.013914111, 0.009249597, 0.005656776, 0.005638039, 0.0053955573, 0.005372098, 0.005125217, 0.0049987864, 0.0046136416, 0.004434189], [0.012479125, 0.007841933, 0.006721906, 0.0065640523, 0.0057129683, 0.005045718, 0.0049539967, 0.0045942836, 0.0045474083, 0.0043343403], [0.011285627, 0.008951328, 0.007889839, 0.006391535, 0.0060508796, 0.0059559094, 0.005481192, 0.005045403, 0.0047923885, 0.004700593], [0.0111161545, 0.008568781, 0.008490989, 0.007153227, 0.0070086773, 0.0067007495, 0.0055529727, 0.0053345454, 0.0049580047, 0.004812714]]"
50,4,0.01,0.61,62537.8828125,0.39085300866985334,,"[['data', 'model', 'distribution', 'feature', 'method', 'one', 'algorithm', 'variable', 'set', 'entropy'], ['learning', 'algorithm', 'bound', 'function', 'network', 'neural', 'training', 'dropout', 'input', 'probability'], ['function', 'model', 'state', 'problem', 'algorithm', 'learning', 'matrix', 'regression', 'set', 'xi'], ['network', 'model', 'function', 'neural', 'data', 'parameter', 'set', 'quantization', 'learning', 'problem']]","[[0.009868767, 0.0074344594, 0.007135041, 0.007022677, 0.0064813234, 0.0059203007, 0.0055797794, 0.0055457624, 0.0049299495, 0.004652288], [0.009133081, 0.0060270517, 0.0058841687, 0.005795053, 0.005439118, 0.0051942714, 0.0049707796, 0.004878583, 0.0046467595, 0.004457274], [0.012989579, 0.008121948, 0.007697239, 0.0072170654, 0.007138505, 0.006059067, 0.0059814523, 0.0054273703, 0.004898174, 0.004746024], [0.017327411, 0.017240211, 0.007582068, 0.0073110927, 0.0059746127, 0.005855037, 0.005386821, 0.0051906975, 0.005172567, 0.0045698774]]"
50,4,0.01,0.9099999999999999,62684.046875,0.40075099593701324,,"[['feature', 'network', 'model', 'one', 'matrix', 'input', 'problem', 'distribution', 'learning', 'weight'], ['model', 'learning', 'algorithm', 'data', 'probability', 'bound', 'distribution', 'dropout', 'method', 'set'], ['function', 'data', 'set', 'algorithm', 'problem', 'xi', 'variable', 'probability', 'using', 'model'], ['network', 'state', 'neural', 'learning', 'function', 'model', 'parameter', 'reward', 'neuron', 'input']]","[[0.0092336945, 0.008063351, 0.0056226794, 0.0051587764, 0.004892808, 0.0047582774, 0.00465753, 0.004636382, 0.0045349384, 0.004532499], [0.014452621, 0.009316813, 0.00704175, 0.006599474, 0.0059238165, 0.005672992, 0.0056143044, 0.0052540232, 0.004920946, 0.004722143], [0.012248632, 0.008267013, 0.0065043205, 0.006495525, 0.0060691475, 0.0055644684, 0.0055073434, 0.004756305, 0.0046119555, 0.004540321], [0.014742923, 0.009189758, 0.008766146, 0.008455874, 0.008408619, 0.0078772195, 0.0063955616, 0.005488872, 0.005117196, 0.0047647622]]"
50,4,0.01,5.0,68819.2578125,0.39774261086000867,,"[['model', 'learning', 'function', 'distribution', 'dropout', 'neuron', 'state', 'neural', 'using', 'network'], ['function', 'network', 'problem', 'data', 'model', 'probability', 'set', 'algorithm', 'variable', 'vector'], ['function', 'learning', 'algorithm', 'problem', 'reward', 'loss', 'matrix', 'set', 'value', 'optimal'], ['model', 'network', 'feature', 'data', 'neural', 'learning', 'one', 'set', 'time', 'training']]","[[0.008867478, 0.008747297, 0.0073667457, 0.006814827, 0.006666648, 0.0056521418, 0.0054368437, 0.0049103834, 0.0046881787, 0.00454836], [0.009959754, 0.008614251, 0.0069145416, 0.0067558195, 0.0057798596, 0.0053251213, 0.0053052413, 0.005238503, 0.004821476, 0.004758846], [0.0081462, 0.008009685, 0.007568713, 0.0060633486, 0.0051593464, 0.005132874, 0.0047651613, 0.004718634, 0.004655217, 0.0045615435], [0.016440613, 0.012502324, 0.007057814, 0.0065319827, 0.005942258, 0.005499665, 0.005356611, 0.00522884, 0.005190691, 0.0048754034]]"
50,4,0.01,10.0,65012.40234375,0.43238502898880204,,"[['network', 'data', 'training', 'neural', 'dropout', 'parameter', 'learning', 'set', 'error', 'model'], ['model', 'network', 'learning', 'function', 'neural', 'neuron', 'input', 'problem', 'weight', 'using'], ['algorithm', 'function', 'regression', 'learning', 'distribution', 'probability', 'data', 'loss', 'matrix', 'set'], ['function', 'model', 'state', 'feature', 'method', 'algorithm', 'distribution', 'problem', 'variable', 'learning']]","[[0.012233195, 0.008338943, 0.007686338, 0.0066473545, 0.00593303, 0.005604558, 0.005381686, 0.0053438167, 0.0046766703, 0.004535843], [0.01767211, 0.011857061, 0.008367993, 0.0066696545, 0.0063415268, 0.0050090966, 0.0049699824, 0.0047338847, 0.0043155635, 0.0042239716], [0.0107122725, 0.0082982965, 0.006740008, 0.006739594, 0.0059959833, 0.0055140196, 0.0054312386, 0.0054041347, 0.0053766374, 0.005102495], [0.010882567, 0.007464609, 0.007379723, 0.0067499, 0.0057921913, 0.005654597, 0.0055346587, 0.0054136934, 0.004944303, 0.0048642126]]"
50,4,0.31,0.01,-69542.3515625,0.3486963331018269,,"[['probability', 'feature', 'vector', 'given', 'approach', 'bound', 'case', 'also', 'output', 'first'], ['network', 'model', 'learning', 'parameter', 'value', 'state', 'variable', 'show', 'input', 'system'], ['data', 'set', 'using', 'method', 'figure', 'result', 'two', 'matrix', 'point', 'xi'], ['function', 'algorithm', 'problem', 'one', 'distribution', 'neural', 'training', 'time', 'error', 'used']]","[[0.016411776, 0.013308579, 0.0125631215, 0.011794122, 0.011585044, 0.0113350125, 0.011039308, 0.010788714, 0.0094010355, 0.009276421], [0.029857026, 0.028971937, 0.02705325, 0.013809828, 0.013408831, 0.012090215, 0.011685369, 0.011165563, 0.010849239, 0.009566667], [0.02443634, 0.021890292, 0.018497132, 0.01694962, 0.014754659, 0.014324941, 0.012734974, 0.011791715, 0.010370115, 0.00963975], [0.03244936, 0.023551596, 0.021150721, 0.017134795, 0.015958743, 0.01438377, 0.01349203, 0.011878609, 0.011629417, 0.011423166]]"
50,4,0.31,0.31,64863.08984375,0.40700505717761126,,"[['algorithm', 'data', 'function', 'matrix', 'bound', 'learning', 'vector', 'set', 'distribution', 'model'], ['function', 'data', 'model', 'feature', 'variable', 'dropout', 'set', 'probability', 'problem', 'distribution'], ['network', 'model', 'neural', 'learning', 'state', 'using', 'training', 'set', 'time', 'function'], ['learning', 'function', 'neuron', 'reward', 'value', 'rate', 'state', 'policy', 'cell', 'weight']]","[[0.009502355, 0.0068540503, 0.0057105278, 0.005308338, 0.0053017023, 0.0049637165, 0.0048227203, 0.0048072697, 0.0047951876, 0.0046674144], [0.011737421, 0.009168952, 0.008275119, 0.007822179, 0.0076386067, 0.0072566327, 0.007187202, 0.007136713, 0.0066126864, 0.0065903016], [0.01784156, 0.01524402, 0.007490617, 0.0055118757, 0.0053224224, 0.0051263296, 0.0048222346, 0.0046225423, 0.004575633, 0.004541903], [0.010612539, 0.009011656, 0.0065048533, 0.0059887003, 0.0059521394, 0.0055990093, 0.005291774, 0.0052557727, 0.005061155, 0.004947466]]"
50,4,0.31,0.61,59988.01171875,0.4235902473106422,,"[['model', 'algorithm', 'method', 'distribution', 'set', 'one', 'feature', 'problem', 'data', 'learning'], ['network', 'learning', 'neural', 'neuron', 'function', 'input', 'parameter', 'weight', 'figure', 'training'], ['model', 'network', 'data', 'learning', 'neural', 'dropout', 'set', 'function', 'distribution', 'probability'], ['function', 'algorithm', 'problem', 'data', 'regression', 'matrix', 'learning', 'set', 'vector', 'optimal']]","[[0.009164549, 0.0068393103, 0.0065673045, 0.0064017433, 0.006094669, 0.005747735, 0.0056803967, 0.005506357, 0.0053196657, 0.0041831173], [0.012727884, 0.008373515, 0.0077213254, 0.0068555754, 0.006468043, 0.006386975, 0.005745008, 0.0057015233, 0.005047933, 0.0049683563], [0.014496065, 0.012021389, 0.007860687, 0.0077895545, 0.005948811, 0.005735871, 0.005148613, 0.0050198524, 0.004846347, 0.004832838], [0.014172228, 0.00874091, 0.007539096, 0.0060321363, 0.005712908, 0.00557347, 0.0051053716, 0.0049491995, 0.004760112, 0.0046461057]]"
50,4,0.31,0.9099999999999999,66853.1015625,0.3901577095142967,,"[['network', 'learning', 'function', 'neural', 'neuron', 'model', 'input', 'cell', 'problem', 'reward'], ['model', 'function', 'network', 'distribution', 'data', 'set', 'variable', 'graph', 'training', 'algorithm'], ['model', 'function', 'probability', 'learning', 'network', 'bound', 'data', 'dropout', 'state', 'set'], ['algorithm', 'feature', 'method', 'data', 'problem', 'vector', 'matrix', 'learning', 'one', 'model']]","[[0.00987076, 0.008951951, 0.008740236, 0.0067043784, 0.0063656685, 0.0057718176, 0.0052001076, 0.0051412005, 0.0051178006, 0.005055985], [0.008860252, 0.008241707, 0.007872548, 0.0068729613, 0.0060686697, 0.0057547395, 0.0052560684, 0.0046848594, 0.004615612, 0.004198877], [0.013972161, 0.009255738, 0.009173334, 0.008627197, 0.008546052, 0.007234536, 0.006214738, 0.005887668, 0.0057993145, 0.0057627023], [0.008900444, 0.008032439, 0.007414186, 0.007378241, 0.00623938, 0.005760258, 0.005618743, 0.005105882, 0.004896739, 0.0048262724]]"
50,4,0.31,5.0,68142.21875,0.4032338382857663,,"[['learning', 'function', 'probability', 'feature', 'bound', 'data', 'method', 'dropout', 'set', 'one'], ['model', 'state', 'network', 'function', 'neuron', 'neural', 'learning', 'cell', 'linear', 'value'], ['function', 'algorithm', 'data', 'network', 'model', 'distribution', 'set', 'problem', 'regression', 'xi'], ['network', 'model', 'learning', 'neural', 'parameter', 'training', 'function', 'using', 'weight', 'quantization']]","[[0.008553825, 0.0070100003, 0.0067528137, 0.0063842023, 0.0061022206, 0.0060631908, 0.005971841, 0.0057819816, 0.0054578646, 0.0052220523], [0.013758209, 0.009629902, 0.008074554, 0.007693372, 0.0069262297, 0.0063218353, 0.0058434694, 0.0054063806, 0.0045946264, 0.0045525352], [0.009434739, 0.009308826, 0.007833703, 0.0075499834, 0.0067994287, 0.006598152, 0.0064795683, 0.0062491344, 0.0052620857, 0.004699287], [0.010749341, 0.009960776, 0.0077190218, 0.005959596, 0.0057357196, 0.00556755, 0.005089037, 0.0047865068, 0.004685751, 0.0045846854]]"
50,4,0.31,10.0,66259.0546875,0.38877570430263886,,"[['network', 'function', 'neural', 'weight', 'learning', 'data', 'model', 'parameter', 'input', 'set'], ['model', 'network', 'feature', 'dropout', 'data', 'distribution', 'one', 'learning', 'using', 'entropy'], ['algorithm', 'learning', 'state', 'matrix', 'data', 'probability', 'model', 'set', 'distribution', 'regression'], ['model', 'function', 'problem', 'learning', 'method', 'algorithm', 'set', 'bound', 'xi', 'linear']]","[[0.016170612, 0.00768211, 0.0076706065, 0.0065818415, 0.005645363, 0.0056251916, 0.005615552, 0.0055594686, 0.0048286025, 0.0045403503], [0.010641711, 0.009089346, 0.008427043, 0.008127154, 0.0060349614, 0.0060092937, 0.0055234665, 0.0054413453, 0.0053074695, 0.0052997475], [0.0094855735, 0.0072916104, 0.005651818, 0.005500335, 0.0054223575, 0.0052121915, 0.0049991654, 0.004688911, 0.0046656425, 0.0046436735], [0.01329803, 0.012620001, 0.0069983844, 0.006566406, 0.006205221, 0.005697037, 0.0052970327, 0.00505091, 0.0049480284, 0.004671104]]"
50,4,0.61,0.01,-68368.8359375,0.33512956243661307,,"[['network', 'set', 'vector', 'input', 'system', 'output', 'linear', 'given', 'space', 'sample'], ['model', 'algorithm', 'neural', 'probability', 'method', 'parameter', 'number', 'show', 'approach', 'matrix'], ['learning', 'figure', 'value', 'result', 'training', 'feature', 'variable', 'case', 'regression', 'section'], ['problem', 'using', 'distribution', 'one', 'also', 'state', 'time', 'weight', 'first', 'ie']]","[[0.03374012, 0.022982689, 0.013556955, 0.012259151, 0.010727676, 0.010134139, 0.010129692, 0.009647021, 0.009314906, 0.008953992], [0.033302765, 0.020961907, 0.016024034, 0.01440686, 0.013718063, 0.012710124, 0.011669631, 0.010278826, 0.010168396, 0.0100934785], [0.029545166, 0.015141593, 0.014788783, 0.014697963, 0.014392077, 0.013994609, 0.012889943, 0.011308741, 0.00976093, 0.009448213], [0.022160113, 0.01863498, 0.018393595, 0.01685707, 0.0134706125, 0.013105438, 0.012450738, 0.010364734, 0.009563417, 0.008808151]]"
50,4,0.61,0.31,66368.03125,0.34970929041452425,,"[['model', 'learning', 'algorithm', 'function', 'dropout', 'data', 'quantization', 'matrix', 'problem', 'set'], ['model', 'problem', 'data', 'function', 'probability', 'feature', 'set', 'distribution', 'method', 'one'], ['state', 'learning', 'algorithm', 'data', 'model', 'rate', 'cell', 'function', 'probability', 'set'], ['network', 'function', 'neural', 'weight', 'model', 'learning', 'parameter', 'using', 'node', 'set']]","[[0.011987965, 0.009080795, 0.0066016917, 0.006235913, 0.006204975, 0.0061624576, 0.00458922, 0.0045685736, 0.004545739, 0.004489928], [0.009236507, 0.006709278, 0.006662665, 0.006426669, 0.006025517, 0.005922357, 0.005715579, 0.0057127303, 0.005675459, 0.0054366756], [0.0069697304, 0.0064259986, 0.006421302, 0.006122171, 0.005693877, 0.0049629817, 0.004725025, 0.004475286, 0.004297966, 0.0041702483], [0.0195502, 0.012230169, 0.0075984877, 0.007220986, 0.0066158753, 0.0058123306, 0.0052940687, 0.0048707733, 0.004675019, 0.0045429617]]"
50,4,0.61,0.61,65648.8671875,0.3780221005992248,,"[['learning', 'function', 'dropout', 'rate', 'algorithm', 'reward', 'loss', 'cell', 'probability', 'process'], ['network', 'neural', 'state', 'function', 'learning', 'model', 'weight', 'parameter', 'problem', 'input'], ['model', 'feature', 'algorithm', 'data', 'network', 'using', 'distribution', 'matrix', 'one', 'vector'], ['function', 'model', 'data', 'probability', 'problem', 'set', 'bound', 'distribution', 'variable', 'algorithm']]","[[0.011763195, 0.00878883, 0.0073254155, 0.0055561373, 0.0053976784, 0.0052927095, 0.004789863, 0.0045856815, 0.004268405, 0.0042225304], [0.018474575, 0.009183829, 0.008727836, 0.008639245, 0.007851578, 0.0076027843, 0.0072908183, 0.0065198266, 0.005863712, 0.0048877993], [0.011103026, 0.0070368918, 0.006851206, 0.0068288804, 0.0062194047, 0.005017373, 0.0049922736, 0.0047955746, 0.004736163, 0.004698536], [0.011343522, 0.009659678, 0.008052393, 0.007950956, 0.007075167, 0.0068394286, 0.00651505, 0.0061558364, 0.0055077183, 0.0054446086]]"
